CONTRATO,STOCK ID,current_monthly_payment,vehicle_equity,saldo insoluto,current_car_price,risk_profile
TMCJ33A32GJ053451,20541,5331.71,244896.46,10102.54,254999,A1
WDCTG4DB9KU004971,19573,8576.6,460747.92,24251.08,484999,A1
2T3DF4EV5FW236725,13993,6348.08,257429.48,25569.52,282999,A1
MEX5G2607HT063991,18829,3790.68,142141.09,15857.91,157999,B
WBA1S1103HV968883,20232,6383.47,319705.42,23293.58,342999,A1
KNDPN3NA1H7246853,19451,7792.02,287020.8,35978.2,322999,A1
1VWAR7A30FC026775,15765,4008.83,195729.59,4269.41,199999,A1
3VWLW6AJ5GM391074,21733,5124.95,201729.85,28269.15,229999,B
WAUAYA8XXFB004104,16415,6020.41,189069.18,23929.82,212999,A2
JM1DKDD73H0163778,20697,6541.16,248397.23,31601.77,279999,A1
3HGRU5893JM012526,21366,6135.89,315973.52,29025.48,344999,A1
9BWAG4120GT545413,22072,3862.05,116042.85,18956.15,134999,A1
5XYPG4A33HG258142,20885,5217.43,287599.44,32399.56,319999,A1
3N1CN7AD3HL889435,17695,3443.82,154132.03,15866.97,169999,A1
WAUAYA8X8GB043825,22446,5081.57,221696.96,28302.04,249999,A1
TMCJU3AE8FJ772474,19033,5406.47,193018.64,26980.36,219999,A1
MA6CB5CD2JT081036,22591,3845.8,124058.87,18940.13,142999,A1
MEX3G2604ET073459,22996,3098.59,135842.85,14156.15,149999,A1
JM3KE2B74F0512957,22328,6098.57,213664.36,29334.64,242999,A1
1FA6P8CF0G5263449,21204,10150.3,453293.22,36705.78,489999,A1
WAUACJ8V1G1034452,22245,2733.64,263206.67,14792.33,277999,A1
WAUAYJ8V9G1017027,22384,6748.88,239408.68,38590.32,277999,A1
19XFC1694JE602065,20921,8691.46,302818.04,50180.96,352999,A1
TMCJ33A36HJ150900,22555,7251.09,304041.6,40957.4,344999,A1
3KPFN4A77JE163414,23670,6507.74,233061.36,36937.64,269999,A1
3KPA35AC6JE075683,23023,6414.9,220212.16,37786.84,257999,A2
TMCJ33A32GJ124714,23574,3716.27,297587.85,20411.15,317999,A1
JS2ZC63S2J6104010,23162,4381.61,205772.99,24226.01,229999,A1
3HGRU5850GM001554,26600,3457.95,237519.39,15479.61,252999,A1
3C3AFFAR3GT142279,20757,4424.56,168526.63,24472.37,192999,A1
2T3RF4EV2EW185365,25525,5179.53,227110.95,35888.05,262999,A1
3C4NJDDBXJT139515,16001,6494.68,408194.62,44804.38,452999,A1
VSSAB4NH0H1009886,22906,4619,163119.15,31879.85,194999,A1
KL8CM6CA4JC471828,22999,4361.71,170084.57,27914.43,197999,A2
KNAFX4A70G5530326,23606,3493.66,157730.68,22268.32,179999,A1
3FADP4BJ1FM166355,24485,3808.71,115893.21,19105.79,134999,A2
WAUAYJ8V6J1083526,23240,4855.15,319503.07,13495.93,332999,A1
9FBHS1AA9FM542065,22144,1561.67,143647.93,9351.07,152999,A1
3FADP4EJ1GM139993,27406,2178.3,149523.99,13475.01,162999,A1
TSMYE21SXGM272477,22500,3797.67,228868.54,24130.46,252999,A1
3N1CN7AD4FK407073,25885,3902.32,113191.48,26807.52,139999,A2
VSSCD2NH8G1018521,18184,4729.36,165691.98,32307.02,197999,A1
LSGHD52H2JD243900,21872,4051.01,116655.79,28343.21,144999,A1
WMWXM9107H2F96844,23996,5592.74,364932.84,38066.16,402999,A1
3VW2K1AJ6HM379723,26361,2846.31,195179.94,17819.06,212999,A1
KNDJP3A44G7368900,26710,5357.05,184921.56,38077.44,222999,A2
JM3KFAD73J0232105,28716,4439.25,336604.1,28394.9,364999,A1
3FA6P0H7XHR192620,21435,3599.2,251499.53,26499.47,277999,A1
JM1GJ1W3XG1420517,24787,6532.09,203068.32,44930.68,247999,A1
JM3KE2D35G0770478,28436,6847.81,251280.04,48718.96,299999,A1
3MZBM2V76FM167495,21128,4846.93,155367.42,32631.58,187999,A1
5NPDH4AE3FH573563,24398,2846.31,157682.83,20316.17,177999,A1
JM1DKDD79H0157533,29424,6222.33,252596.06,40402.94,292999,A1
3VWLW6AJ9EM207445,22761,3965.12,159588.69,28410.31,187999,A1
JN8BT27T9HW025276T,28677,3998.78,248943.58,29055.42,277999,A1
1VWBR7A35FC015369,24219,5084.39,177890.52,42108.48,219999,A1
1N4AL3AP8EN223704,26995,4047.64,159209.59,28789.41,187999,A1
WV2CACSE6JX001071,21306,7965.97,311548.81,16450.19,327999,A1
JM1DKDD73J1302243,26736,7024.9,257393.03,55605.97,312999,A1
3N1CN7AD6HK431636,28970,4716.52,147416.52,35582.48,182999,A1
5N1AR2MN7FC656534,28406,7445.82,250452.42,59546.58,309999,A1
WMWXM510XH2A72371,25938,6428.83,270726.57,39272.43,309999,B
