stock_id,sku
15765,MX-V040-P-15-1019-1001
20757,MX-F011-P-16-1001-1017
21435,MX-F012-P-17-1019-1002
26223,MX-C008-P-17-1030-1005
26251,MX-M026-P-15-1006-1002
27744,MX-D010-P-18-1024-1001
29003,MX-B004-P-15-1011-1003
29134,MX-R034-P-15-1003-1003
31596,MX-A003-P-16-1002-1010
32948,MX-T039-P-17-1014-1004
34034,MX-C008-P-17-1022-1002
35049,MX-A003-P-17-1003-1007
36114,MX-C008-P-20-1008-1002
36957,MX-C008-P-13-1019-1002
37682,MX-R034-P-17-1013-1002
39000,MX-S035-P-16-1003-1009
41896,MX-T039-P-15-1005-1003
43008,MX-V040-P-17-1002-1004
43750,MX-B004-P-17-1004-1003
44163,MX-T039-P-13-1005-1003
45791,MX-S038-P-16-1005-1003
45965,MX-M026-P-17-1001-1001
46199,MX-J022-P-15-1004-1002
47515,MX-M026-P-17-1008-1001
48004,MX-C008-P-18-1004-1004
103103,MX-V040-P-18-1010-1003
106095,MX-V040-P-16-1010-1002
106445,MX-H018-P-16-1003-1004
106733,MX-K023-P-17-1005-1005
19938,MX-V040-P-16-1012-1004
24398,MX-H018-P-15-1003-1006
25432,MX-N031-P-16-1022-1003
25886,MX-T039-P-16-1017-1011
27607,MX-H016-P-16-1004-1002
28436,MX-M026-P-16-1002-1004
29592,MX-N031-P-15-1002-1007
29719,MX-V040-P-16-1012-1005
30120,MX-V040-P-15-1012-1003
31794,MX-G014-P-17-1004-1003
32812,MX-A003-P-17-1003-1006
33233,MX-C008-P-15-1003-1005
33830,MX-A003-P-15-1005-1002
34232,MX-D010-P-19-1021-1002
36810,MX-C008-P-14-1034-1001
38050,MX-N031-P-16-1027-1003
39845,MX-V040-P-17-1016-1007
42267,MX-M030-P-17-1008-1004
43180,MX-C008-P-16-1030-1006
45240,MX-A003-P-18-1003-1008
45803,MX-S038-P-18-1005-1007
46203,MX-N031-P-14-1027-1002
47068,MX-N031-P-13-1022-1001
47404,MX-V040-P-16-1016-1010
102649,MX-C008-P-18-1003-1009
102875,MX-A003-P-18-1014-1003
103684,MX-K023-P-19-1005-1005
106446,MX-F012-P-14-1008-1005
107316,MX-C008-P-17-1030-1002
22160,MX-M027-P-13-1005-1001
22999,MX-C008-P-18-1030-1003
23162,MX-S038-P-18-1005-1004
25832,MX-C008-P-17-1003-1006
28284,MX-H018-P-16-1005-1010
29239,MX-J022-P-15-1005-1001
31807,MX-V040-P-16-1016-1003
34186,MX-V040-P-15-1021-1001
36752,MX-K023-P-17-1001-1005
37472,MX-R034-P-19-1006-1004
38331,MX-M026-P-16-1006-1004
40758,MX-K023-P-17-1005-1004
41472,MX-V040-P-15-1028-1001
41681,MX-F012-P-18-1013-1003
43267,MX-F012-P-13-1005-1002
43501,MX-V040-P-16-1002-1002
45936,MX-M026-P-16-1006-1007
47241,MX-K023-P-16-1006-1003
47463,MX-C008-P-18-1030-1005
47498,MX-H016-P-16-1008-1003
47839,MX-R034-P-14-1004-1001
103215,MX-H016-P-15-1006-1001
20232,MX-B004-P-17-1003-1007
21204,MX-F012-P-16-1021-1003
22446,MX-A003-P-16-1001-1004
22475,MX-F012-P-16-1013-1001
28691,MX-V040-P-17-1028-1003
31265,MX-P032-P-17-1004-1009
33359,MX-M029-P-18-1001-1004
39576,MX-V040-P-20-1017-1006
40424,MX-F012-P-14-1013-1009
42560,MX-R034-P-16-1008-1002
45135,MX-V040-P-10-1003-1002
46003,MX-M026-P-17-1001-1001
46511,MX-N031-P-16-1027-1005
46853,MX-S035-P-15-1003-1008
47310,MX-V040-P-14-1016-1010
47480,MX-V040-P-14-1028-1003
101515,MX-C008-P-16-1029-1001
101779,MX-H016-P-17-1008-1001
105321,MX-N031-P-16-1002-1002
106627,MX-S038-P-18-1005-1001
106972,MX-H016-P-14-1004-1003
25514,MX-B004-P-16-1005-1001
27606,MX-B004-P-16-1011-1004
27793,MX-N031-P-19-1002-1008
27903,MX-S035-P-16-1005-1004
30114,MX-M026-P-16-1006-1002
30637,MX-M026-P-17-1005-1005
32096,MX-C008-P-14-1035-1002
34201,MX-I019-P-17-1005-1004
35165,MX-B004-P-18-1012-1002
36946,MX-C008-P-18-1003-1002
37271,MX-C008-P-16-1030-1006
37736,MX-H018-P-16-1003-1002
38300,MX-N031-P-16-1028-1003
39223,MX-H018-P-17-1008-1004
39502,MX-M026-P-16-1006-1004
40739,MX-C008-P-18-1003-1001
42909,MX-M029-P-17-1001-1010
44888,MX-H018-P-15-1007-1003
44944,MX-C008-P-16-1022-1004
45084,MX-K023-P-19-1001-1001
47013,MX-C008-P-18-1040-1001
48008,MX-H016-P-14-1008-1004
101500,MX-M026-P-16-1005-1005
103388,MX-J022-P-18-1009-1002
104004,MX-C008-P-17-1029-1006
104695,MX-D010-C-16-1012-1005
104895,MX-T039-P-16-1016-1004
104906,MX-M026-P-18-1001-1003
105890,MX-F011-P-17-1011-1003
107605,MX-D010-P-15-1021-1005
110750,MX-N031-P-17-1002-1005
22147,MX-F012-P-16-1013-1004
23826,MX-M026-P-16-1009-1001
28406,MX-N031-P-15-1019-1002
28528,MX-M027-P-15-1001-1004
29043,MX-H016-P-15-1003-1005
29054,MX-F011-P-14-1001-1005
30556,MX-V040-P-16-1016-1010
31798,MX-V040-P-16-1016-1001
32133,MX-R034-P-15-1008-1002
33649,MX-N031-P-18-1031-1005
37058,MX-V040-P-19-1028-1003
37863,MX-M026-P-15-1006-1012
38120,MX-A001-P-18-1007-1002
40048,MX-H016-P-16-1008-1002
40240,MX-A003-P-15-1003-1023
41033,MX-M026-P-17-1006-1009
41439,MX-H018-P-17-1009-1001
41745,MX-V040-P-14-1021-1003
41802,MX-H016-P-18-1004-1002
42384,MX-M026-P-18-1006-1014
42495,MX-S035-P-17-1003-1024
43540,MX-S035-P-15-1003-1009
46734,MX-M027-P-13-1019-1002
47356,MX-R034-P-13-1004-1003
48169,MX-N031-P-15-1023-1002
48240,MX-C008-P-15-1030-1004
48282,MX-M027-P-16-1005-1004
101808,MX-H018-P-18-1009-1002
102221,MX-M026-P-15-1006-1011
102828,MX-M027-P-16-1001-1007
105670,MX-M030-P-13-1005-1003
106012,MX-C008-P-15-1035-1003
107923,MX-F012-C-16-1014-1002
108097,MX-C008-P-14-1029-1003
